County,Number of Returns,Single Returns,Joint Returns,Elderly Returns,Total Income Amount,Returns w/ Uunemployment Compensation,Unemployment Compensation Amount
Petroleum County,200.0,90.0,110.0,70.0,7212.0,0.0,0.0
Pettis County,18670.0,8260.0,7350.0,4750.0,850953.0,770.0,1918.0
Phelps County,22240.0,10130.0,9420.0,6170.0,1143268.0,530.0,1512.0
Philadelphia County,684990.0,378220.0,130820.0,126640.0,36001969.0,31200.0,161331.0
Phillips County,13350.0,5490.0,4560.0,4020.0,537271.0,380.0,1178.0
Piatt County,8070.0,3490.0,3780.0,2580.0,550901.0,290.0,1528.0
Pickaway County,25340.0,10560.0,10030.0,6440.0,1405619.0,670.0,2928.0
Pickens County,72350.0,29850.0,30740.0,19310.0,4087634.0,1210.0,3487.0
Pickett County,2140.0,860.0,1010.0,700.0,105030.0,50.0,183.0
Pierce County,451820.0,213120.0,175960.0,103820.0,30798700.0,17680.0,96539.0
Pike County,118960.0,49070.0,47810.0,31640.0,6002418.0,4280.0,19034.0
Pima County,451590.0,214140.0,160820.0,135790.0,27232338.0,7270.0,25322.0
Pinal County,153130.0,61040.0,64110.0,45300.0,7978802.0,3290.0,11978.0
Pine County,13030.0,6220.0,5260.0,3970.0,642353.0,1090.0,6689.0
Pinellas County,489980.0,260520.0,156850.0,154230.0,36513124.0,5800.0,20000.0
Pipestone County,4500.0,2050.0,1980.0,1410.0,237518.0,160.0,866.0
Piscataquis County,7300.0,3280.0,3180.0,2580.0,320833.0,300.0,1191.0
Pitkin County,10170.0,6360.0,2980.0,2650.0,1461143.0,500.0,2266.0
Pitt County,72240.0,32950.0,22660.0,15230.0,3988445.0,1110.0,2572.0
Pittsburg County,17480.0,6990.0,7380.0,5130.0,836363.0,480.0,2151.0
Pittsylvania County,26870.0,11060.0,10980.0,7750.0,1284190.0,810.0,2386.0
Piute County,580.0,210.0,310.0,210.0,20268.0,0.0,0.0
Placer County,186470.0,82450.0,85100.0,58040.0,17681062.0,9220.0,45344.0
Plaquemines Parish,10210.0,4270.0,3750.0,2040.0,662369.0,180.0,582.0
Platte County,70830.0,32370.0,29730.0,18020.0,5435146.0,2070.0,7360.0
Pleasants County,3190.0,1300.0,1510.0,960.0,177342.0,240.0,916.0
Plumas County,8960.0,4030.0,3960.0,3760.0,518219.0,920.0,4276.0
Plymouth County,279590.0,139950.0,104500.0,77160.0,24637034.0,14590.0,104056.0
Pocahontas County,7060.0,3170.0,3100.0,2430.0,317603.0,460.0,1325.0
Poinsett County,8810.0,3390.0,3380.0,1990.0,363026.0,350.0,1021.0
Pointe Coupee Parish,9600.0,3880.0,3340.0,2560.0,548353.0,220.0,716.0
Polk County,691080.0,310790.0,262720.0,176910.0,40964227.0,19930.0,83710.0
Pondera County,2910.0,1410.0,1140.0,930.0,118494.0,90.0,340.0
Pontotoc County,29000.0,12030.0,11590.0,6400.0,1408425.0,490.0,1906.0
Pope County,32660.0,13340.0,14510.0,8390.0,1751502.0,1440.0,6403.0
Poquoson city,5900.0,2380.0,2920.0,1820.0,505865.0,80.0,294.0
Portage County,110610.0,54020.0,41230.0,30080.0,6641904.0,4130.0,17196.0
Porter County,82910.0,38310.0,34620.0,23330.0,5934390.0,2150.0,9503.0
Portsmouth city,44280.0,21360.0,11140.0,9910.0,1941079.0,1020.0,3725.0
Posey County,12200.0,5230.0,5820.0,3730.0,792513.0,180.0,696.0
Pottawatomie County,40010.0,16670.0,17420.0,10350.0,2113928.0,930.0,3823.0
Pottawattamie County,42730.0,20150.0,16370.0,11250.0,2482783.0,1520.0,6037.0
Potter County,59050.0,26800.0,20220.0,13550.0,2987347.0,1480.0,6736.0
Powder River County,790.0,350.0,380.0,320.0,38038.0,0.0,0.0
Powell County,7610.0,3190.0,3050.0,2010.0,315099.0,410.0,1475.0
Power County,3160.0,1140.0,1550.0,850.0,143640.0,170.0,422.0
Poweshiek County,8250.0,3770.0,3630.0,2710.0,490042.0,460.0,2002.0
Powhatan County,13910.0,5570.0,6980.0,4180.0,1158114.0,240.0,875.0
Prairie County,3830.0,1470.0,1710.0,1250.0,174407.0,150.0,456.0
Pratt County,4210.0,1970.0,1820.0,1460.0,231220.0,80.0,232.0
Preble County,19310.0,8180.0,7800.0,5690.0,941960.0,500.0,2192.0
Prentiss County,9600.0,3730.0,3850.0,2070.0,395493.0,170.0,487.0
Presidio County,3530.0,1410.0,1390.0,740.0,150948.0,240.0,1342.0
Presque Isle County,6440.0,2860.0,3030.0,2850.0,296764.0,630.0,2257.0
Preston County,13800.0,5840.0,6250.0,3930.0,671962.0,880.0,3146.0
Price County,7030.0,3330.0,3130.0,2580.0,338780.0,330.0,1161.0
Prince Edward County,7860.0,3610.0,2610.0,2250.0,364650.0,170.0,451.0
Prince George County,15680.0,6130.0,6680.0,3900.0,943392.0,320.0,1114.0
